"","solution","std.error","z.ratio"
"vm(ID, ginv)_No_519642",0.525098872830837,0.806212532717973,0.651315690988551
"vm(ID, ginv)_No_519643",0.551580949220488,0.806973110232976,0.683518375304035
"vm(ID, ginv)_No_519644",0.232560417538906,0.796142554567722,0.292109015156436
"vm(ID, ginv)_No_519645",0.974226000269033,0.787799154374015,1.23664260726854
"vm(ID, ginv)_No_519646",0.426839451303284,0.822351418933646,0.519047503872216
"vm(ID, ginv)_No_519647",0.82252759785612,0.810315788059839,1.0150704330043
"vm(ID, ginv)_No_519648",-0.0132149232416095,0.81116474078809,-0.0162912939593139
"vm(ID, ginv)_No_519649",0.270403165137151,0.818063739070425,0.330540460630138
"vm(ID, ginv)_No_519650",0.42369594242757,0.785647865209152,0.539294970673376
"vm(ID, ginv)_No_519651",0.588462990661801,0.799996676366833,0.735581794332312
